Class,"Normal","Suspeito"
ACC,0.99661,0.99661
AGF,0.99629,0.99693
AGM,0.99679,0.99643
AM,-6,6
AUC,0.99661,0.99661
AUCI,Excellent,Excellent
AUPR,0.99661,0.99662
BCD,0.00027,0.00027
BM,0.99322,0.99322
CEN,0.03116,0.03108
DOR,88772.78125,88772.78125
DP,2.72813,2.72813
DPI,Fair,Fair
ERR,0.00339,0.00339
F0.5,0.99693,0.9963
F1,0.99661,0.99662
F2,0.99629,0.99694
FDR,0.00286,0.00391
FN,22,16
FNR,0.00393,0.00285
FOR,0.00391,0.00286
FP,16,22
FPR,0.00285,0.00393
G,0.99661,0.99662
GI,0.99322,0.99322
GM,0.99661,0.99661
IBA,0.99217,0.9943
ICSI,0.99321,0.99324
IS,0.99741,0.9928
J,0.99324,0.99326
LS,1.99642,1.99004
MCC,0.99323,0.99323
MCCI,Very Strong,Very Strong
MCEN,0.05539,0.05524
MK,0.99323,0.99323
N,5615,5603
NLR,0.00394,0.00286
NLRI,Good,Good
NPV,0.99609,0.99714
OC,0.99714,0.99715
OOC,0.99661,0.99662
OP,0.99607,0.99607
P,5603,5615
PLR,349.55956,253.9561
PLRI,Good,Good
POP,11218,11218
PPV,0.99714,0.99609
PRE,0.49947,0.50053
Q,0.99998,0.99998
QI,Strong,Strong
RACC,0.2492,0.2508
RACCU,0.2492,0.2508
TN,5599,5581
TNR,0.99715,0.99607
TON,5621,5597
TOP,5597,5621
TP,5581,5599
TPR,0.99607,0.99715
Y,0.99322,0.99322
dInd,0.00485,0.00485
sInd,0.99657,0.99657
