Class,"Normal","Suspeito"
ACC,0.9951,0.9951
AGF,0.99387,0.99632
AGM,0.99578,0.99441
AM,-23,23
AUC,0.99509,0.99509
AUCI,Excellent,Excellent
AUPR,0.99509,0.99512
BCD,0.00103,0.00103
BM,0.99019,0.99019
CEN,0.04199,0.04177
DOR,49924.41667,49924.41667
DP,2.59032,2.59032
DPI,Fair,Fair
ERR,0.0049,0.0049
F0.5,0.99631,0.99389
F1,0.99508,0.99511
F2,0.99386,0.99633
FDR,0.00287,0.00692
FN,39,16
FNR,0.00696,0.00285
FOR,0.00692,0.00287
FP,16,39
FPR,0.00285,0.00696
G,0.99508,0.99511
GI,0.99019,0.99019
GM,0.99509,0.99509
IBA,0.98614,0.99428
ICSI,0.99017,0.99023
IS,0.9974,0.98844
J,0.99021,0.99027
LS,1.9964,1.98404
MCC,0.9902,0.9902
MCCI,Very Strong,Very Strong
MCEN,0.07385,0.07348
MK,0.99022,0.99022
N,5615,5603
NLR,0.00698,0.00287
NLRI,Good,Good
NPV,0.99308,0.99713
OC,0.99713,0.99715
OOC,0.99508,0.99511
OP,0.99303,0.99303
P,5603,5615
PLR,348.49478,143.25729
PLRI,Good,Good
POP,11218,11218
PPV,0.99713,0.99308
PRE,0.49947,0.50053
Q,0.99996,0.99996
QI,Strong,Strong
RACC,0.24844,0.25156
RACCU,0.24844,0.25156
TN,5599,5564
TNR,0.99715,0.99304
TON,5638,5580
TOP,5580,5638
TP,5564,5599
TPR,0.99304,0.99715
Y,0.99019,0.99019
dInd,0.00752,0.00752
sInd,0.99468,0.99468
