Class,"Normal","Suspeito"
ACC,0.99724,0.99724
AGF,0.99708,0.9974
AGM,0.99733,0.99715
AM,-3,3
AUC,0.99724,0.99724
AUCI,Excellent,Excellent
AUPR,0.99723,0.99724
BCD,0.00013,0.00013
BM,0.99447,0.99447
CEN,0.02626,0.0262
DOR,131458.76471,131458.76471
DP,2.82214,2.82214
DPI,Fair,Fair
ERR,0.00276,0.00276
F0.5,0.99739,0.99708
F1,0.99723,0.99724
F2,0.99707,0.9974
FDR,0.0025,0.00303
FN,17,14
FNR,0.00303,0.00249
FOR,0.00303,0.0025
FP,14,17
FPR,0.00249,0.00303
G,0.99723,0.99724
GI,0.99447,0.99447
GM,0.99724,0.99724
IBA,0.99394,0.99502
ICSI,0.99447,0.99448
IS,0.99793,0.99409
J,0.99448,0.9945
LS,1.99714,1.99182
MCC,0.99447,0.99447
MCCI,Very Strong,Very Strong
MCEN,0.04688,0.04678
MK,0.99447,0.99447
N,5615,5603
NLR,0.00304,0.0025
NLRI,Good,Good
NPV,0.99697,0.9975
OC,0.9975,0.99751
OOC,0.99723,0.99724
OP,0.99697,0.99697
P,5603,5615
PLR,399.85454,328.76647
PLRI,Good,Good
POP,11218,11218
PPV,0.9975,0.99697
PRE,0.49947,0.50053
Q,0.99998,0.99998
QI,Strong,Strong
RACC,0.24933,0.25067
RACCU,0.24933,0.25067
TN,5601,5586
TNR,0.99751,0.99697
TON,5618,5600
TOP,5600,5618
TP,5586,5601
TPR,0.99697,0.99751
Y,0.99447,0.99447
dInd,0.00393,0.00393
sInd,0.99722,0.99722
