Class,"Normal","Suspeito"
ACC,0.99652,0.99652
AGF,0.99615,0.9969
AGM,0.99673,0.99631
AM,-7,7
AUC,0.99652,0.99652
AUCI,Excellent,Excellent
AUPR,0.99652,0.99653
BCD,0.00031,0.00031
BM,0.99305,0.99305
CEN,0.03184,0.03175
DOR,84897.88043,84897.88043
DP,2.71744,2.71744
DPI,Fair,Fair
ERR,0.00348,0.00348
F0.5,0.99689,0.99616
F1,0.99652,0.99653
F2,0.99614,0.9969
FDR,0.00286,0.00409
FN,23,16
FNR,0.0041,0.00285
FOR,0.00409,0.00286
FP,16,23
FPR,0.00285,0.0041
G,0.99652,0.99653
GI,0.99305,0.99305
GM,0.99652,0.99652
IBA,0.99181,0.9943
ICSI,0.99304,0.99306
IS,0.99741,0.99254
J,0.99306,0.99308
LS,1.99642,1.98969
MCC,0.99305,0.99305
MCCI,Very Strong,Very Strong
MCEN,0.05655,0.05639
MK,0.99305,0.99305
N,5615,5603
NLR,0.00412,0.00286
NLRI,Good,Good
NPV,0.99591,0.99714
OC,0.99714,0.99715
OOC,0.99652,0.99653
OP,0.99589,0.99589
P,5603,5615
PLR,349.49692,242.91453
PLRI,Good,Good
POP,11218,11218
PPV,0.99714,0.99591
PRE,0.49947,0.50053
Q,0.99998,0.99998
QI,Strong,Strong
RACC,0.24915,0.25085
RACCU,0.24915,0.25085
TN,5599,5580
TNR,0.99715,0.9959
TON,5622,5596
TOP,5596,5622
TP,5580,5599
TPR,0.9959,0.99715
Y,0.99305,0.99305
dInd,0.005,0.005
sInd,0.99647,0.99647
