Class,"Normal","Suspeito"
ACC,0.9971,0.9971
AGF,0.98862,0.99427
AGM,0.99509,0.99634
AM,-10,10
AUC,0.99528,0.99528
AUCI,Excellent,Excellent
AUPR,0.9984,0.98458
BCD,0.00081,0.00081
BM,0.99057,0.99057
CEN,0.01608,0.10497
DOR,57363.42857,57363.42857
DP,2.62357,2.62357
DPI,Fair,Fair
ERR,0.0029,0.0029
F0.5,0.99893,0.97945
F1,0.9984,0.98451
F2,0.99787,0.98962
FDR,0.00071,0.02389
FN,14,4
FNR,0.00249,0.00694
FOR,0.02389,0.00071
FP,4,14
FPR,0.00694,0.00249
G,0.9984,0.98455
GI,0.99057,0.99057
GM,0.99528,0.99528
IBA,0.995,0.98617
ICSI,0.9968,0.96916
IS,0.1395,3.39464
J,0.99681,0.96949
LS,1.10152,10.5169
MCC,0.98295,0.98295
MCCI,Very Strong,Very Strong
MCEN,0.02893,0.17691
MK,0.9754,0.9754
N,576,5630
NLR,0.0025,0.00696
NLRI,Good,Good
NPV,0.97611,0.99929
OC,0.99929,0.99306
OOC,0.9984,0.98455
OP,0.99486,0.99486
P,5630,576
PLR,143.64192,399.3502
PLRI,Good,Good
POP,6206,6206
PPV,0.99929,0.97611
PRE,0.90719,0.09281
Q,0.99997,0.99997
QI,Strong,Strong
RACC,0.82153,0.00876
RACCU,0.82153,0.00876
TN,572,5616
TNR,0.99306,0.99751
TON,586,5620
TOP,5620,586
TP,5616,572
TPR,0.99751,0.99306
Y,0.99057,0.99057
dInd,0.00738,0.00738
sInd,0.99478,0.99478
