Class,"Normal","Suspeito"
ACC,0.99678,0.99678
AGF,0.98712,0.99389
AGM,0.99493,0.99608
AM,-12,12
AUC,0.99511,0.99511
AUCI,Excellent,Excellent
AUPR,0.99822,0.98292
BCD,0.00097,0.00097
BM,0.99021,0.99021
CEN,0.01753,0.11314
DOR,50175.125,50175.125
DP,2.59152,2.59152
DPI,Fair,Fair
ERR,0.00322,0.00322
F0.5,0.99886,0.97678
F1,0.99822,0.98282
F2,0.99758,0.98893
FDR,0.00071,0.02721
FN,16,4
FNR,0.00284,0.00694
FOR,0.02721,0.00071
FP,4,16
FPR,0.00694,0.00284
G,0.99822,0.98287
GI,0.99021,0.99021
GM,0.9951,0.9951
IBA,0.9943,0.98617
ICSI,0.99645,0.96584
IS,0.1395,3.38972
J,0.99645,0.96622
LS,1.10152,10.48113
MCC,0.9811,0.9811
MCCI,Very Strong,Very Strong
MCEN,0.03145,0.18951
MK,0.97208,0.97208
N,576,5630
NLR,0.00286,0.00696
NLRI,Good,Good
NPV,0.97279,0.99929
OC,0.99929,0.99306
OOC,0.99822,0.98287
OP,0.99472,0.99472
P,5630,576
PLR,143.59076,349.43142
PLRI,Good,Good
POP,6206,6206
PPV,0.99929,0.97279
PRE,0.90719,0.09281
Q,0.99996,0.99996
QI,Strong,Strong
RACC,0.82123,0.00879
RACCU,0.82123,0.00879
TN,572,5614
TNR,0.99306,0.99716
TON,588,5618
TOP,5618,588
TP,5614,572
TPR,0.99716,0.99306
Y,0.99021,0.99021
dInd,0.0075,0.0075
sInd,0.99469,0.99469
