Class,"Normal","Suspeito"
ACC,0.99855,0.99855
AGF,0.99541,0.99598
AGM,0.99582,0.99752
AM,-1,1
AUC,0.99608,0.99608
AUCI,Excellent,Excellent
AUPR,0.9992,0.9922
BCD,8e-05,8e-05
BM,0.99217,0.99217
CEN,0.00902,0.06239
DOR,160875.0,160875.0
DP,2.87049,2.87049
DPI,Fair,Fair
ERR,0.00145,0.00145
F0.5,0.99925,0.99168
F1,0.9992,0.99219
F2,0.99915,0.99271
FDR,0.00071,0.00867
FN,5,4
FNR,0.00089,0.00694
FOR,0.00867,0.00071
FP,4,5
FPR,0.00694,0.00089
G,0.9992,0.99219
GI,0.99217,0.99217
GM,0.99608,0.99608
IBA,0.99818,0.98616
ICSI,0.9984,0.98439
IS,0.1395,3.41697
J,0.9984,0.98451
LS,1.10153,10.68094
MCC,0.9914,0.9914
MCCI,Very Strong,Very Strong
MCEN,0.01642,0.10849
MK,0.99062,0.99062
N,576,5630
NLR,0.00089,0.00695
NLRI,Good,Good
NPV,0.99133,0.99929
OC,0.99929,0.99306
OOC,0.9992,0.99219
OP,0.99551,0.99551
P,5630,576
PLR,143.87211,1118.18056
PLRI,Good,Good
POP,6206,6206
PPV,0.99929,0.99133
PRE,0.90719,0.09281
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.82284,0.00863
RACCU,0.82284,0.00863
TN,572,5625
TNR,0.99306,0.99911
TON,577,5629
TOP,5629,577
TP,5625,572
TPR,0.99911,0.99306
Y,0.99217,0.99217
dInd,0.007,0.007
sInd,0.99505,0.99505
