Class,"Normal","Suspeito"
ACC,0.78182,0.78182
AGF,0.09615,0.10707
AGM,0.10121,0.46658
AM,-218,218
AUC,0.43714,0.43714
AUCI,Poor,Poor
AUPR,0.87772,0.01198
BCD,0.01756,0.01756
BM,-0.12572,-0.12572
CEN,0.49158,0.98651
DOR,0.0868,0.0868
DP,-0.58522,-0.58522
DPI,Poor,Poor
ERR,0.21818,0.21818
F0.5,0.8879,0.01066
F1,0.87738,0.01168
F2,0.86711,0.01291
FDR,0.10495,0.98992
FN,786,568
FNR,0.13961,0.98611
FOR,0.98992,0.10495
FP,568,786
FPR,0.98611,0.13961
G,0.87755,0.01183
GI,-0.12572,-0.12572
GM,0.10932,0.10932
IBA,0.02207,0.00183
ICSI,0.75544,-0.97604
IS,-0.01943,-3.20347
J,0.78154,0.00587
LS,0.98662,0.10856
MCC,-0.10921,-0.10921
MCCI,Negligible,Negligible
MCEN,0.69378,0.9839
MK,-0.09488,-0.09488
N,576,5630
NLR,10.05187,1.14612
NLRI,Negligible,Negligible
NPV,0.01008,0.89505
OC,0.89505,0.01389
OOC,0.87755,0.01183
OP,-0.1864,-0.1864
P,5630,576
PLR,0.87251,0.09948
PLRI,Negligible,Negligible
POP,6206,6206
PPV,0.89505,0.01008
PRE,0.90719,0.09281
Q,-0.84026,-0.84026
QI,Negligible,Negligible
RACC,0.79112,0.01187
RACCU,0.79143,0.01218
TN,8,4844
TNR,0.01389,0.86039
TON,794,5412
TOP,5412,794
TP,4844,8
TPR,0.86039,0.01389
Y,-0.12572,-0.12572
dInd,0.99594,0.99594
sInd,0.29576,0.29576
