Class,"Normal","Suspeito"
ACC,0.99936,0.99936
AGF,0.99923,0.99693
AGM,0.99623,0.99818
AM,4,-4
AUC,0.99653,0.99653
AUCI,Excellent,Excellent
AUPR,0.99965,0.99653
BCD,0.00032,0.00032
BM,0.99306,0.99306
CEN,0.00407,0.02845
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.00064,0.00064
F0.5,0.99943,0.9986
F1,0.99964,0.99652
F2,0.99986,0.99444
FDR,0.00071,0.0
FN,0,4
FNR,0.0,0.00694
FOR,0.0,0.00071
FP,4,0
FPR,0.00694,0.0
G,0.99964,0.99652
GI,0.99306,0.99306
GM,0.99652,0.99652
IBA,0.99995,0.98616
ICSI,0.99929,0.99306
IS,0.1395,3.42952
J,0.99929,0.99306
LS,1.10153,10.77431
MCC,0.99617,0.99617
MCCI,Very Strong,Very Strong
MCEN,0.00743,0.04979
MK,0.99929,0.99929
N,576,5630
NLR,0.0,0.00694
NLRI,Good,Good
NPV,1.0,0.99929
OC,1.0,1.0
OOC,0.99964,0.99652
OP,0.99587,0.99587
P,5630,576
PLR,144.0,None
PLRI,Good,None
POP,6206,6206
PPV,0.99929,1.0
PRE,0.90719,0.09281
Q,None,None
QI,None,None
RACC,0.82357,0.00855
RACCU,0.82357,0.00855
TN,572,5630
TNR,0.99306,1.0
TON,572,5634
TOP,5634,572
TP,5630,572
TPR,1.0,0.99306
Y,0.99306,0.99306
dInd,0.00694,0.00694
sInd,0.99509,0.99509
