Class,"Normal","Suspeito"
ACC,0.57557,0.57557
AGF,0.18639,0.30088
AGM,0.31735,0.4664
AM,-1686,1686
AUC,0.39671,0.39671
AUCI,Poor,Poor
AUPR,0.74808,0.11109
BCD,0.13584,0.13584
BM,-0.20658,-0.20658
CEN,0.69931,0.73098
DOR,0.3457,0.3457
DP,-0.25433,-0.25433
DPI,Poor,Poor
ERR,0.42443,0.42443
F0.5,0.81052,0.05299
F1,0.72488,0.07188
F2,0.65561,0.1117
FDR,0.12018,0.95491
FN,2160,474
FNR,0.38366,0.82292
FOR,0.95491,0.12018
FP,474,2160
FPR,0.82292,0.38366
G,0.73639,0.08936
GI,-0.20658,-0.20658
GM,0.33037,0.33037
IBA,0.15709,0.0612
ICSI,0.49616,-0.77782
IS,-0.0442,-1.04143
J,0.56848,0.03728
LS,0.96983,0.48584
MCC,-0.12455,-0.12455
MCCI,Negligible,Negligible
MCEN,0.81664,0.7074
MK,-0.07509,-0.07509
N,576,5630
NLR,2.16654,1.33516
NLRI,Negligible,Negligible
NPV,0.04509,0.87982
OC,0.87982,0.17708
OOC,0.73639,0.08936
OP,0.02195,0.02195
P,5630,576
PLR,0.74897,0.46156
PLRI,Negligible,Negligible
POP,6206,6206
PPV,0.87982,0.04509
PRE,0.90719,0.09281
Q,-0.48622,-0.48622
QI,Negligible,Negligible
RACC,0.57653,0.03383
RACCU,0.59498,0.05228
TN,102,3470
TNR,0.17708,0.61634
TON,2262,3944
TOP,3944,2262
TP,3470,102
TPR,0.61634,0.17708
Y,-0.20658,-0.20658
dInd,0.90796,0.90796
sInd,0.35798,0.35798
