Class,"Normal","Suspeito"
ACC,0.9175,0.9175
AGF,0.66177,0.43977
AGM,0.39681,0.69138
AM,438,-438
AUC,0.58439,0.58439
AUCI,Poor,Poor
AUPR,0.95757,0.45362
BCD,0.03529,0.03529
BM,0.16878,0.16878
CEN,0.21395,0.61247
DOR,32.14185,32.14185
DP,0.83089,0.83089
DPI,Poor,Poor
ERR,0.0825,0.0825
F0.5,0.93522,0.4477
F1,0.95623,0.28291
F2,0.97821,0.2068
FDR,0.07828,0.26812
FN,37,475
FNR,0.00657,0.82465
FOR,0.26812,0.07828
FP,475,37
FPR,0.82465,0.00657
G,0.9569,0.35824
GI,0.16878,0.16878
GM,0.41737,0.41737
IBA,0.3167,0.03169
ICSI,0.91515,-0.09277
IS,0.02293,2.97921
J,0.91613,0.16476
LS,1.01602,7.88554
MCC,0.33213,0.33213
MCCI,Weak,Weak
MCEN,0.33128,0.52959
MK,0.6536,0.6536
N,576,5630
NLR,0.03748,0.83011
NLRI,Good,Negligible
NPV,0.73188,0.92172
OC,0.99343,0.73188
OOC,0.9569,0.35824
OP,0.21755,0.21755
P,5630,576
PLR,1.20466,26.68121
PLRI,Poor,Good
POP,6206,6206
PPV,0.92172,0.73188
PRE,0.90719,0.09281
Q,0.93965,0.93965
QI,Strong,Strong
RACC,0.88701,0.00206
RACCU,0.88826,0.00331
TN,101,5593
TNR,0.17535,0.99343
TON,138,6068
TOP,6068,138
TP,5593,101
TPR,0.99343,0.17535
Y,0.16878,0.16878
dInd,0.82468,0.82468
sInd,0.41686,0.41686
