Class,"Normal","Suspeito"
ACC,0.99726,0.99726
AGF,0.98937,0.99446
AGM,0.99517,0.99647
AM,-9,9
AUC,0.99537,0.99537
AUCI,Excellent,Excellent
AUPR,0.99849,0.98542
BCD,0.00073,0.00073
BM,0.99075,0.99075
CEN,0.01535,0.10075
DOR,61787.0,61787.0
DP,2.64136,2.64136
DPI,Fair,Fair
ERR,0.00274,0.00274
F0.5,0.99897,0.9808
F1,0.99849,0.98536
F2,0.99801,0.98996
FDR,0.00071,0.02222
FN,13,4
FNR,0.00231,0.00694
FOR,0.02222,0.00071
FP,4,13
FPR,0.00694,0.00231
G,0.99849,0.98539
GI,0.99075,0.99075
GM,0.99537,0.99537
IBA,0.99536,0.98617
ICSI,0.99698,0.97083
IS,0.1395,3.3971
J,0.99698,0.97114
LS,1.10152,10.53488
MCC,0.98388,0.98388
MCCI,Very Strong,Very Strong
MCEN,0.02764,0.17034
MK,0.97707,0.97707
N,576,5630
NLR,0.00233,0.00696
NLRI,Good,Good
NPV,0.97778,0.99929
OC,0.99929,0.99306
OOC,0.99849,0.98539
OP,0.99493,0.99493
P,5630,576
PLR,143.6675,430.06944
PLRI,Good,Good
POP,6206,6206
PPV,0.99929,0.97778
PRE,0.90719,0.09281
Q,0.99997,0.99997
QI,Strong,Strong
RACC,0.82167,0.00875
RACCU,0.82167,0.00875
TN,572,5617
TNR,0.99306,0.99769
TON,585,5621
TOP,5621,585
TP,5617,572
TPR,0.99769,0.99306
Y,0.99075,0.99075
dInd,0.00732,0.00732
sInd,0.99483,0.99483
