Class,"Normal","Suspeito"
ACC,0.99581,0.99581
AGF,0.99832,0.9933
AGM,0.99463,0.99729
AM,5,-5
AUC,0.99601,0.99601
AUCI,Excellent,Excellent
AUPR,0.99563,0.99601
BCD,0.00209,0.00209
BM,0.99203,0.99203
CEN,0.03438,0.03188
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.00419,0.00419
F0.5,0.99299,0.99839
F1,0.99561,0.996
F2,0.99824,0.99361
FDR,0.00874,0.0
FN,0,5
FNR,0.0,0.00797
FOR,0.0,0.00874
FP,5,0
FPR,0.00797,0.0
G,0.99562,0.996
GI,0.99203,0.99203
GM,0.996,0.996
IBA,0.99994,0.98411
ICSI,0.99126,0.99203
IS,1.06172,0.92927
J,0.99126,0.99203
LS,2.08741,1.90431
MCC,0.99164,0.99164
MCCI,Very Strong,Very Strong
MCEN,0.05977,0.05559
MK,0.99126,0.99126
N,627,567
NLR,0.0,0.00797
NLRI,Good,Good
NPV,1.0,0.99126
OC,1.0,1.0
OOC,0.99562,0.996
OP,0.99181,0.99181
P,567,627
PLR,125.4,None
PLRI,Good,None
POP,1194,1194
PPV,0.99126,1.0
PRE,0.47487,0.52513
Q,None,None
QI,None,None
RACC,0.22749,0.27356
RACCU,0.2275,0.27356
TN,622,567
TNR,0.99203,1.0
TON,622,572
TOP,572,622
TP,567,622
TPR,1.0,0.99203
Y,0.99203,0.99203
dInd,0.00797,0.00797
sInd,0.99436,0.99436
