Class,"Normal","Suspeito"
ACC,1.0,1.0
AGF,1.0,1.0
AGM,1.0,1.0
AM,0,0
AUC,1.0,1.0
AUCI,Excellent,Excellent
AUPR,1.0,1.0
BCD,0.0,0.0
BM,1.0,1.0
CEN,0,0
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.0,0.0
F0.5,1.0,1.0
F1,1.0,1.0
F2,1.0,1.0
FDR,0.0,0.0
FN,0,0
FNR,0.0,0.0
FOR,0.0,0.0
FP,0,0
FPR,0.0,0.0
G,1.0,1.0
GI,1.0,1.0
GM,1.0,1.0
IBA,1.0,1.0
ICSI,1.0,1.0
IS,0.79837,1.23447
J,1.0,1.0
LS,1.73913,2.35294
MCC,1.0,1.0
MCCI,Very Strong,Very Strong
MCEN,0,0
MK,1.0,1.0
N,34,46
NLR,0.0,0.0
NLRI,Good,Good
NPV,1.0,1.0
OC,1.0,1.0
OOC,1.0,1.0
OP,1.0,1.0
P,46,34
PLR,None,None
PLRI,None,None
POP,80,80
PPV,1.0,1.0
PRE,0.575,0.425
Q,None,None
QI,None,None
RACC,0.33062,0.18062
RACCU,0.33062,0.18062
TN,34,46
TNR,1.0,1.0
TON,34,46
TOP,46,34
TP,46,34
TPR,1.0,1.0
Y,1.0,1.0
dInd,0.0,0.0
sInd,1.0,1.0
