Class,"Normal","Suspeito"
ACC,0.99495,0.99495
AGF,0.99188,0.99796
AGM,0.99642,0.99276
AM,-1,1
AUC,0.99451,0.99451
AUCI,Excellent,Excellent
AUPR,0.99451,0.99537
BCD,0.00253,0.00253
BM,0.98901,0.98901
CEN,0.04144,0.03604
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.00505,0.00505
F0.5,0.99778,0.99258
F1,0.99448,0.99535
F2,0.99119,0.99813
FDR,0.0,0.00926
FN,1,0
FNR,0.01099,0.0
FOR,0.00926,0.0
FP,0,1
FPR,0.0,0.01099
G,0.99449,0.99536
GI,0.98901,0.98901
GM,0.99449,0.99449
IBA,0.97814,0.99988
ICSI,0.98901,0.99074
IS,1.12156,0.87447
J,0.98901,0.99074
LS,2.17582,1.83333
MCC,0.98988,0.98988
MCCI,Very Strong,Very Strong
MCEN,0.07151,0.06255
MK,0.99074,0.99074
N,107,91
NLR,0.01099,0.0
NLRI,Good,Good
NPV,0.99074,1.0
OC,1.0,1.0
OOC,0.99449,0.99536
OP,0.98942,0.98942
P,91,107
PLR,None,91.0
PLRI,None,Good
POP,198,198
PPV,1.0,0.99074
PRE,0.4596,0.5404
Q,None,None
QI,None,None
RACC,0.20891,0.29477
RACCU,0.20891,0.29477
TN,107,90
TNR,1.0,0.98901
TON,108,90
TOP,90,108
TP,90,107
TPR,0.98901,1.0
Y,0.98901,0.98901
dInd,0.01099,0.01099
sInd,0.99223,0.99223
