Class,"Normal","Suspeito"
ACC,1.0,1.0
AGF,1.0,1.0
AGM,1.0,1.0
AM,0,0
AUC,1.0,1.0
AUCI,Excellent,Excellent
AUPR,1.0,1.0
BCD,0.0,0.0
BM,1.0,1.0
CEN,0,0
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.0,0.0
F0.5,1.0,1.0
F1,1.0,1.0
F2,1.0,1.0
FDR,0.0,0.0
FN,0,0
FNR,0.0,0.0
FOR,0.0,0.0
FP,0,0
FPR,0.0,0.0
G,1.0,1.0
GI,1.0,1.0
GM,1.0,1.0
IBA,1.0,1.0
ICSI,1.0,1.0
IS,1.12156,0.88789
J,1.0,1.0
LS,2.17582,1.85047
MCC,1.0,1.0
MCCI,Very Strong,Very Strong
MCEN,0,0
MK,1.0,1.0
N,107,91
NLR,0.0,0.0
NLRI,Good,Good
NPV,1.0,1.0
OC,1.0,1.0
OOC,1.0,1.0
OP,1.0,1.0
P,91,107
PLR,None,None
PLRI,None,None
POP,198,198
PPV,1.0,1.0
PRE,0.4596,0.5404
Q,None,None
QI,None,None
RACC,0.21123,0.29204
RACCU,0.21123,0.29204
TN,107,91
TNR,1.0,1.0
TON,107,91
TOP,91,107
TP,91,107
TPR,1.0,1.0
Y,1.0,1.0
dInd,0.0,0.0
sInd,1.0,1.0
