Class,"Normal","Suspeito"
ACC,0.9899,0.9899
AGF,0.98983,0.98983
AGM,0.99012,0.98957
AM,0,0
AUC,0.98983,0.98983
AUCI,Excellent,Excellent
AUPR,0.98901,0.99065
BCD,0.0,0.0
BM,0.97967,0.97967
CEN,0.0825,0.07235
DOR,9540.0,9540.0
DP,2.19404,2.19404
DPI,Fair,Fair
ERR,0.0101,0.0101
F0.5,0.98901,0.99065
F1,0.98901,0.99065
F2,0.98901,0.99065
FDR,0.01099,0.00935
FN,1,1
FNR,0.01099,0.00935
FOR,0.00935,0.01099
FP,1,1
FPR,0.00935,0.01099
G,0.98901,0.99065
GI,0.97967,0.97967
GM,0.98983,0.98983
IBA,0.97816,0.98138
ICSI,0.97802,0.98131
IS,1.10562,0.87434
J,0.97826,0.98148
LS,2.15191,1.83317
MCC,0.97967,0.97967
MCCI,Very Strong,Very Strong
MCEN,0.14182,0.12509
MK,0.97967,0.97967
N,107,91
NLR,0.01109,0.00945
NLRI,Good,Good
NPV,0.99065,0.98901
OC,0.98901,0.99065
OOC,0.98901,0.99065
OP,0.98907,0.98907
P,91,107
PLR,105.82418,90.14953
PLRI,Good,Good
POP,198,198
PPV,0.98901,0.99065
PRE,0.4596,0.5404
Q,0.99979,0.99979
QI,Strong,Strong
RACC,0.21123,0.29204
RACCU,0.21123,0.29204
TN,106,90
TNR,0.99065,0.98901
TON,107,91
TOP,91,107
TP,90,106
TPR,0.98901,0.99065
Y,0.97967,0.97967
dInd,0.01443,0.01443
sInd,0.9898,0.9898
