Class,"Normal","Suspeito"
ACC,0.65217,0.65217
AGF,0.75858,0.45622
AGM,0.44151,0.68604
AM,16,-16
AUC,0.63636,0.63636
AUCI,Fair,Fair
AUPR,0.8,0.63636
BCD,0.17391,0.17391
BM,0.27273,0.27273
CEN,0.5,0.46135
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.34783,0.34783
F0.5,0.65217,0.65217
F1,0.75,0.42857
F2,0.88235,0.31915
FDR,0.4,0.0
FN,0,16
FNR,0.0,0.72727
FOR,0.0,0.4
FP,16,0
FPR,0.72727,0.0
G,0.7746,0.52223
GI,0.27273,0.27273
GM,0.52223,0.52223
IBA,0.47107,0.07438
ICSI,0.6,0.27273
IS,0.20163,1.06413
J,0.6,0.27273
LS,1.15,2.09091
MCC,0.40452,0.40452
MCCI,Weak,Weak
MCEN,0.52877,0.33413
MK,0.6,0.6
N,22,24
NLR,0.0,0.72727
NLRI,Good,Negligible
NPV,1.0,0.6
OC,1.0,1.0
OOC,0.7746,0.52223
OP,0.08075,0.08075
P,24,22
PLR,1.375,None
PLRI,Poor,None
POP,46,46
PPV,0.6,1.0
PRE,0.52174,0.47826
Q,None,None
QI,None,None
RACC,0.45369,0.06238
RACCU,0.48393,0.09263
TN,6,24
TNR,0.27273,1.0
TON,6,40
TOP,40,6
TP,24,6
TPR,1.0,0.27273
Y,0.27273,0.27273
dInd,0.72727,0.72727
sInd,0.48574,0.48574
