Class,"Normal","Suspeito"
ACC,0.31746,0.31746
AGF,0.53716,0.22496
AGM,0.31428,0.50747
AM,86,-86
AUC,0.59048,0.59048
AUCI,Poor,Poor
AUPR,0.59813,0.59048
BCD,0.34127,0.34127
BM,0.18095,0.18095
CEN,0.38548,0.36615
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.68254,0.68254
F0.5,0.23385,0.52486
F1,0.32812,0.30645
F2,0.54974,0.2164
FDR,0.80374,0.0
FN,0,86
FNR,0.0,0.81905
FOR,0.0,0.80374
FP,86,0
FPR,0.81905,0.0
G,0.44301,0.42538
GI,0.18095,0.18095
GM,0.42538,0.42538
IBA,0.32916,0.03274
ICSI,0.19626,0.18095
IS,0.23581,0.26303
J,0.19626,0.18095
LS,1.17757,1.2
MCC,0.18845,0.18845
MCCI,Negligible,Negligible
MCEN,0.25334,0.23587
MK,0.19626,0.19626
N,105,21
NLR,0.0,0.81905
NLRI,Good,Negligible
NPV,1.0,0.19626
OC,1.0,1.0
OOC,0.44301,0.42538
OP,-0.37609,-0.37609
P,21,105
PLR,1.22093,None
PLRI,Poor,None
POP,126,126
PPV,0.19626,1.0
PRE,0.16667,0.83333
Q,None,None
QI,None,None
RACC,0.14153,0.12566
RACCU,0.258,0.24213
TN,19,21
TNR,0.18095,1.0
TON,19,107
TOP,107,19
TP,21,19
TPR,1.0,0.18095
Y,0.18095,0.18095
dInd,0.81905,0.81905
sInd,0.42085,0.42085
