Class,"Normal","Suspeito"
ACC,0.34127,0.34127
AGF,0.5642,0.24453
AGM,0.34491,0.5352
AM,83,-83
AUC,0.60476,0.60476
AUCI,Fair,Fair
AUPR,0.60096,0.60476
BCD,0.32937,0.32937
BM,0.20952,0.20952
CEN,0.39225,0.40104
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.65873,0.65873
F0.5,0.24027,0.56995
F1,0.336,0.34646
F2,0.55851,0.24887
FDR,0.79808,0.0
FN,0,83
FNR,0.0,0.79048
FOR,0.0,0.79808
FP,83,0
FPR,0.79048,0.0
G,0.44936,0.45774
GI,0.20952,0.20952
GM,0.45774,0.45774
IBA,0.37515,0.0439
ICSI,0.20192,0.20952
IS,0.27684,0.26303
J,0.20192,0.20952
LS,1.21154,1.2
MCC,0.20569,0.20569
MCCI,Negligible,Negligible
MCEN,0.25969,0.26813
MK,0.20192,0.20192
N,105,21
NLR,0.0,0.79048
NLRI,Good,Negligible
NPV,1.0,0.20192
OC,1.0,1.0
OOC,0.44936,0.45774
OP,-0.31227,-0.31227
P,21,105
PLR,1.26506,None
PLRI,Poor,None
POP,126,126
PPV,0.20192,1.0
PRE,0.16667,0.83333
Q,None,None
QI,None,None
RACC,0.13757,0.1455
RACCU,0.24605,0.25398
TN,22,21
TNR,0.20952,1.0
TON,22,104
TOP,104,22
TP,21,22
TPR,1.0,0.20952
Y,0.20952,0.20952
dInd,0.79048,0.79048
sInd,0.44105,0.44105
