Class,"Normal","Suspeito"
ACC,0.63107,0.63107
AGF,0.69093,0.38478
AGM,0.36048,0.63567
AM,76,-76
AUC,0.59574,0.59574
AUCI,Poor,Poor
AUPR,0.79787,0.59574
BCD,0.18447,0.18447
BM,0.19149,0.19149
CEN,0.50183,0.37961
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.36893,0.36893
F0.5,0.64815,0.54217
F1,0.74667,0.32143
F2,0.8805,0.22843
FDR,0.40426,0.0
FN,0,76
FNR,0.0,0.80851
FOR,0.0,0.40426
FP,76,0
FPR,0.80851,0.0
G,0.77184,0.43759
GI,0.19149,0.19149
GM,0.43759,0.43759
IBA,0.34631,0.03667
ICSI,0.59574,0.19149
IS,0.13191,1.13191
J,0.59574,0.19149
LS,1.09574,2.19149
MCC,0.33776,0.33776
MCCI,Weak,Weak
MCEN,0.52822,0.24794
MK,0.59574,0.59574
N,94,112
NLR,0.0,0.80851
NLRI,Good,Negligible
NPV,1.0,0.59574
OC,1.0,1.0
OOC,0.77184,0.43759
OP,-0.0475,-0.0475
P,112,94
PLR,1.23684,None
PLRI,Poor,None
POP,206,206
PPV,0.59574,1.0
PRE,0.54369,0.45631
Q,None,None
QI,None,None
RACC,0.49618,0.03987
RACCU,0.53021,0.0739
TN,18,112
TNR,0.19149,1.0
TON,18,188
TOP,188,18
TP,112,18
TPR,1.0,0.19149
Y,0.19149,0.19149
dInd,0.80851,0.80851
sInd,0.4283,0.4283
