Class,"Normal","Suspeito"
ACC,0.9,0.9
AGF,0.95695,0.84758
AGM,0.88304,0.93776
AM,1,-1
AUC,0.91667,0.91667
AUCI,Excellent,Excellent
AUPR,0.9,0.91667
BCD,0.05,0.05
BM,0.83333,0.83333
CEN,0.35221,0.31449
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.1,0.1
F0.5,0.83333,0.96154
F1,0.88889,0.90909
F2,0.95238,0.86207
FDR,0.2,0.0
FN,0,1
FNR,0.0,0.16667
FOR,0.0,0.2
FP,1,0
FPR,0.16667,0.0
G,0.89443,0.91287
GI,0.83333,0.83333
GM,0.91287,0.91287
IBA,0.97222,0.69444
ICSI,0.8,0.83333
IS,1.0,0.73697
J,0.8,0.83333
LS,2.0,1.66667
MCC,0.8165,0.8165
MCCI,Strong,Strong
MCEN,0.46439,0.43083
MK,0.8,0.8
N,6,4
NLR,0.0,0.16667
NLRI,Good,Fair
NPV,1.0,0.8
OC,1.0,1.0
OOC,0.89443,0.91287
OP,0.80909,0.80909
P,4,6
PLR,6.0,None
PLRI,Fair,None
POP,10,10
PPV,0.8,1.0
PRE,0.4,0.6
Q,None,None
QI,None,None
RACC,0.2,0.3
RACCU,0.2025,0.3025
TN,5,4
TNR,0.83333,1.0
TON,5,5
TOP,5,5
TP,4,5
TPR,1.0,0.83333
Y,0.83333,0.83333
dInd,0.16667,0.16667
sInd,0.88215,0.88215
