Class,"Normal","Suspeito"
ACC,0.15254,0.15254
AGF,0.30331,0.09862
AGM,0.21025,0.35317
AM,100,-100
AUC,0.54955,0.54955
AUCI,Poor,Poor
AUPR,0.53271,0.54955
BCD,0.42373,0.42373
BM,0.0991,0.0991
CEN,0.16582,0.23515
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.84746,0.84746
F0.5,0.08046,0.35484
F1,0.12281,0.18033
F2,0.25926,0.12088
FDR,0.93458,0.0
FN,0,100
FNR,0.0,0.9009
FOR,0.0,0.93458
FP,100,0
FPR,0.9009,0.0
G,0.25577,0.3148
GI,0.0991,0.0991
GM,0.3148,0.3148
IBA,0.18838,0.00982
ICSI,0.06542,0.0991
IS,0.14118,0.08823
J,0.06542,0.0991
LS,1.1028,1.06306
MCC,0.08052,0.08052
MCCI,Negligible,Negligible
MCEN,0.09123,0.13564
MK,0.06542,0.06542
N,111,7
NLR,0.0,0.9009
NLRI,Good,Negligible
NPV,1.0,0.06542
OC,1.0,1.0
OOC,0.25577,0.3148
OP,-0.66713,-0.66713
P,7,111
PLR,1.11,None
PLRI,Poor,None
POP,118,118
PPV,0.06542,1.0
PRE,0.05932,0.94068
Q,None,None
QI,None,None
RACC,0.05379,0.08769
RACCU,0.23334,0.26724
TN,11,7
TNR,0.0991,1.0
TON,11,107
TOP,107,11
TP,7,11
TPR,1.0,0.0991
Y,0.0991,0.0991
dInd,0.9009,0.9009
sInd,0.36297,0.36297
