Class,"Normal","Suspeito"
ACC,0.99558,0.99558
AGF,0.99823,0.99294
AGM,0.99405,0.99703
AM,1,-1
AUC,0.99554,0.99554
AUCI,Excellent,Excellent
AUPR,0.99565,0.99554
BCD,0.00221,0.00221
BM,0.99107,0.99107
CEN,0.03423,0.03498
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.00442,0.00442
F0.5,0.99303,0.9982
F1,0.99563,0.99552
F2,0.99825,0.99284
FDR,0.0087,0.0
FN,0,1
FNR,0.0,0.00893
FOR,0.0,0.0087
FP,1,0
FPR,0.00893,0.0
G,0.99564,0.99553
GI,0.99107,0.99107
GM,0.99553,0.99553
IBA,0.99992,0.98222
ICSI,0.9913,0.99107
IS,0.97469,1.01282
J,0.9913,0.99107
LS,1.96522,2.01786
MCC,0.99119,0.99119
MCCI,Very Strong,Very Strong
MCEN,0.05953,0.06078
MK,0.9913,0.9913
N,112,114
NLR,0.0,0.00893
NLRI,Good,Good
NPV,1.0,0.9913
OC,1.0,1.0
OOC,0.99564,0.99553
OP,0.99109,0.99109
P,114,112
PLR,112.0,None
PLRI,Good,None
POP,226,226
PPV,0.9913,1.0
PRE,0.50442,0.49558
Q,None,None
QI,None,None
RACC,0.25668,0.2434
RACCU,0.25668,0.24341
TN,111,114
TNR,0.99107,1.0
TON,111,115
TOP,115,111
TP,114,111
TPR,1.0,0.99107
Y,0.99107,0.99107
dInd,0.00893,0.00893
sInd,0.99369,0.99369
