Class,"Normal","Suspeito"
ACC,0.975,0.975
AGF,0.95969,0.98961
AGM,0.98145,0.96244
AM,-2,2
AUC,0.97143,0.97143
AUCI,Excellent,Excellent
AUPR,0.97143,0.97872
BCD,0.0125,0.0125
BM,0.94286,0.94286
CEN,0.14963,0.12008
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.025,0.025
F0.5,0.98802,0.96567
F1,0.97059,0.97826
F2,0.95376,0.99119
FDR,0.0,0.04255
FN,2,0
FNR,0.05714,0.0
FOR,0.04255,0.0
FP,0,2
FPR,0.0,0.05714
G,0.97101,0.97849
GI,0.94286,0.94286
GM,0.97101,0.97101
IBA,0.88898,0.99673
ICSI,0.94286,0.95745
IS,1.19265,0.76734
J,0.94286,0.95745
LS,2.28571,1.70213
MCC,0.95012,0.95012
MCCI,Very Strong,Very Strong
MCEN,0.23596,0.19381
MK,0.95745,0.95745
N,45,35
NLR,0.05714,0.0
NLRI,Good,Good
NPV,0.95745,1.0
OC,1.0,1.0
OOC,0.97101,0.97849
OP,0.94559,0.94559
P,35,45
PLR,None,17.5
PLRI,None,Good
POP,80,80
PPV,1.0,0.95745
PRE,0.4375,0.5625
Q,None,None
QI,None,None
RACC,0.18047,0.33047
RACCU,0.18062,0.33062
TN,45,33
TNR,1.0,0.94286
TON,47,33
TOP,33,47
TP,33,45
TPR,0.94286,1.0
Y,0.94286,0.94286
dInd,0.05714,0.05714
sInd,0.95959,0.95959
