Class,"Normal","Suspeito"
ACC,0.9875,0.9875
AGF,0.97977,0.99486
AGM,0.99079,0.98129
AM,-1,1
AUC,0.98571,0.98571
AUCI,Excellent,Excellent
AUPR,0.98571,0.98913
BCD,0.00625,0.00625
BM,0.97143,0.97143
CEN,0.08853,0.07151
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.0125,0.0125
F0.5,0.99415,0.98253
F1,0.98551,0.98901
F2,0.97701,0.99558
FDR,0.0,0.02174
FN,1,0
FNR,0.02857,0.0
FOR,0.02174,0.0
FP,0,1
FPR,0.0,0.02857
G,0.98561,0.98907
GI,0.97143,0.97143
GM,0.98561,0.98561
IBA,0.94367,0.99918
ICSI,0.97143,0.97826
IS,1.19265,0.79837
J,0.97143,0.97826
LS,2.28571,1.73913
MCC,0.97484,0.97484
MCCI,Very Strong,Very Strong
MCEN,0.14655,0.12008
MK,0.97826,0.97826
N,45,35
NLR,0.02857,0.0
NLRI,Good,Good
NPV,0.97826,1.0
OC,1.0,1.0
OOC,0.98561,0.98907
OP,0.97301,0.97301
P,35,45
PLR,None,35.0
PLRI,None,Good
POP,80,80
PPV,1.0,0.97826
PRE,0.4375,0.5625
Q,None,None
QI,None,None
RACC,0.18594,0.32344
RACCU,0.18598,0.32348
TN,45,34
TNR,1.0,0.97143
TON,46,34
TOP,34,46
TP,34,45
TPR,0.97143,1.0
Y,0.97143,0.97143
dInd,0.02857,0.02857
sInd,0.9798,0.9798
