Class,"Normal","Suspeito"
ACC,0.99329,0.99329
AGF,0.99664,0.9867
AGM,0.99342,0.99636
AM,1,-1
AUC,0.99537,0.99537
AUCI,Excellent,Excellent
AUPR,0.9881,0.99537
BCD,0.00336,0.00336
BM,0.99074,0.99074
CEN,0.07681,0.03604
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.00671,0.00671
F0.5,0.98086,0.99813
F1,0.98795,0.99535
F2,0.99515,0.99258
FDR,0.02381,0.0
FN,0,1
FNR,0.0,0.00926
FOR,0.0,0.02381
FP,1,0
FPR,0.00926,0.0
G,0.98802,0.99536
GI,0.99074,0.99074
GM,0.99536,0.99536
IBA,0.99991,0.98157
ICSI,0.97619,0.99074
IS,1.82685,0.46428
J,0.97619,0.99074
LS,3.54762,1.37963
MCC,0.98344,0.98344
MCCI,Very Strong,Very Strong
MCEN,0.12839,0.06255
MK,0.97619,0.97619
N,108,41
NLR,0.0,0.00926
NLRI,Good,Good
NPV,1.0,0.97619
OC,1.0,1.0
OOC,0.98802,0.99536
OP,0.98864,0.98864
P,41,108
PLR,108.0,None
PLRI,Good,None
POP,149,149
PPV,0.97619,1.0
PRE,0.27517,0.72483
Q,None,None
QI,None,None
RACC,0.07756,0.52052
RACCU,0.07758,0.52053
TN,107,41
TNR,0.99074,1.0
TON,107,42
TOP,42,107
TP,41,107
TPR,1.0,0.99074
Y,0.99074,0.99074
dInd,0.00926,0.00926
sInd,0.99345,0.99345
