Class,"Normal","Suspeito"
ACC,0.60369,0.60369
AGF,0.724,0.41185
AGM,0.40325,0.65443
AM,86,-86
AUC,0.61947,0.61947
AUCI,Fair,Fair
AUPR,0.77368,0.61947
BCD,0.19816,0.19816
BM,0.23894,0.23894
CEN,0.51875,0.43185
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.39631,0.39631
F0.5,0.60185,0.61086
F1,0.70748,0.38571
F2,0.85809,0.28184
FDR,0.45263,0.0
FN,0,86
FNR,0.0,0.76106
FOR,0.0,0.45263
FP,86,0
FPR,0.76106,0.0
G,0.73984,0.48881
GI,0.23894,0.23894
GM,0.48881,0.48881
IBA,0.42078,0.05709
ICSI,0.54737,0.23894
IS,0.1917,0.94137
J,0.54737,0.23894
LS,1.14211,1.92035
MCC,0.36165,0.36165
MCCI,Weak,Weak
MCEN,0.51763,0.29979
MK,0.54737,0.54737
N,113,104
NLR,0.0,0.76106
NLRI,Good,Negligible
NPV,1.0,0.54737
OC,1.0,1.0
OOC,0.73984,0.48881
OP,-0.0106,-0.0106
P,104,113
PLR,1.31395,None
PLRI,Poor,None
POP,217,217
PPV,0.54737,1.0
PRE,0.47926,0.52074
Q,None,None
QI,None,None
RACC,0.41963,0.06479
RACCU,0.4589,0.10406
TN,27,104
TNR,0.23894,1.0
TON,27,190
TOP,190,27
TP,104,27
TPR,1.0,0.23894
Y,0.23894,0.23894
dInd,0.76106,0.76106
sInd,0.46185,0.46185
