Class,"Normal","Suspeito"
ACC,0.59908,0.59908
AGF,0.71639,0.40364
AGM,0.39421,0.64825
AM,87,-87
AUC,0.61504,0.61504
AUCI,Fair,Fair
AUPR,0.77225,0.61504
BCD,0.20046,0.20046
BM,0.23009,0.23009
CEN,0.51953,0.42311
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.40092,0.40092
F0.5,0.59908,0.59908
F1,0.70508,0.3741
F2,0.85667,0.27197
FDR,0.4555,0.0
FN,0,87
FNR,0.0,0.76991
FOR,0.0,0.4555
FP,87,0
FPR,0.76991,0.0
G,0.7379,0.47968
GI,0.23009,0.23009
GM,0.47968,0.47968
IBA,0.40724,0.05294
ICSI,0.5445,0.23009
IS,0.18412,0.94137
J,0.5445,0.23009
LS,1.13613,1.92035
MCC,0.35395,0.35395
MCCI,Weak,Weak
MCEN,0.51676,0.29044
MK,0.5445,0.5445
N,113,104
NLR,0.0,0.76991
NLRI,Good,Negligible
NPV,1.0,0.5445
OC,1.0,1.0
OOC,0.7379,0.47968
OP,-0.02682,-0.02682
P,104,113
PLR,1.29885,None
PLRI,Poor,None
POP,217,217
PPV,0.5445,1.0
PRE,0.47926,0.52074
Q,None,None
QI,None,None
RACC,0.42184,0.06239
RACCU,0.46202,0.10258
TN,26,104
TNR,0.23009,1.0
TON,26,191
TOP,191,26
TP,104,26
TPR,1.0,0.23009
Y,0.23009,0.23009
dInd,0.76991,0.76991
sInd,0.45559,0.45559
