Class,"Normal","Suspeito"
ACC,0.98627,0.98627
AGF,0.98501,0.98754
AGM,0.98696,0.98561
AM,-24,24
AUC,0.98629,0.98629
AUCI,Excellent,Excellent
AUPR,0.98636,0.98619
BCD,0.00107,0.00107
BM,0.97258,0.97258
CEN,0.09793,0.09891
DOR,5289.8529,5289.8529
DP,2.05284,2.05284
DPI,Fair,Fair
ERR,0.01373,0.01373
F0.5,0.98762,0.98491
F1,0.98636,0.98619
F2,0.9851,0.98746
FDR,0.01154,0.01593
FN,89,65
FNR,0.01574,0.01169
FOR,0.01593,0.01154
FP,65,89
FPR,0.01169,0.01574
G,0.98636,0.98619
GI,0.97258,0.97258
GM,0.98629,0.98629
IBA,0.96882,0.9767
ICSI,0.97272,0.97238
IS,0.97121,0.98897
J,0.97308,0.97275
LS,1.96049,1.98477
MCC,0.97255,0.97255
MCCI,Very Strong,Very Strong
MCEN,0.16683,0.16841
MK,0.97253,0.97253
N,5562,5656
NLR,0.01592,0.01187
NLRI,Good,Good
NPV,0.98407,0.98846
OC,0.98846,0.98831
OOC,0.98636,0.98619
OP,0.98422,0.98422
P,5656,5562
PLR,84.22276,62.80788
PLRI,Good,Good
POP,11218,11218
PPV,0.98846,0.98407
PRE,0.50419,0.49581
Q,0.99962,0.99962
QI,Strong,Strong
RACC,0.25313,0.24689
RACCU,0.25313,0.24689
TN,5497,5567
TNR,0.98831,0.98426
TON,5586,5632
TOP,5632,5586
TP,5567,5497
TPR,0.98426,0.98831
Y,0.97258,0.97258
dInd,0.0196,0.0196
sInd,0.98614,0.98614
