Class,"Normal","Suspeito"
ACC,0.99813,0.99813
AGF,0.99861,0.99765
AGM,0.99785,0.9984
AM,9,-9
AUC,0.99812,0.99812
AUCI,Excellent,Excellent
AUPR,0.99815,0.99811
BCD,0.0004,0.0004
BM,0.99624,0.99624
CEN,0.01843,0.01873
DOR,348228.33333,348228.33333
DP,3.05539,3.05539
DPI,Good,Good
ERR,0.00187,0.00187
F0.5,0.99767,0.9986
F1,0.99815,0.99811
F2,0.99862,0.99763
FDR,0.00265,0.00108
FN,6,15
FNR,0.00106,0.0027
FOR,0.00108,0.00265
FP,15,6
FPR,0.0027,0.00106
G,0.99815,0.99811
GI,0.99624,0.99624
GM,0.99812,0.99812
IBA,0.99788,0.99462
ICSI,0.99629,0.99622
IS,0.98414,1.01058
J,0.9963,0.99623
LS,1.97813,2.01472
MCC,0.99626,0.99626
MCCI,Very Strong,Very Strong
MCEN,0.03311,0.03362
MK,0.99627,0.99627
N,5562,5656
NLR,0.00106,0.0027
NLRI,Good,Good
NPV,0.99892,0.99735
OC,0.99894,0.99892
OOC,0.99815,0.99811
OP,0.99731,0.99731
P,5656,5562
PLR,370.40665,940.12442
PLRI,Good,Good
POP,11218,11218
PPV,0.99735,0.99892
PRE,0.50419,0.49581
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.25461,0.24543
RACCU,0.25461,0.24543
TN,5547,5650
TNR,0.9973,0.99894
TON,5553,5665
TOP,5665,5553
TP,5650,5547
TPR,0.99894,0.9973
Y,0.99624,0.99624
dInd,0.0029,0.0029
sInd,0.99795,0.99795
