Class,"Normal","Suspeito"
ACC,0.99216,0.99216
AGF,0.99035,0.99396
AGM,0.99316,0.99118
AM,-34,34
AUC,0.99218,0.99218
AUCI,Excellent,Excellent
AUPR,0.99221,0.99212
BCD,0.00152,0.00152
BM,0.98436,0.98436
CEN,0.06157,0.06211
DOR,18802.86885,18802.86885
DP,2.3565,2.3565
DPI,Fair,Fair
ERR,0.00784,0.00784
F0.5,0.994,0.9903
F1,0.9922,0.99211
F2,0.99041,0.99393
FDR,0.0048,0.0109
FN,61,27
FNR,0.01079,0.00485
FOR,0.0109,0.0048
FP,27,61
FPR,0.00485,0.01079
G,0.9922,0.99212
GI,0.98436,0.98436
GM,0.99218,0.99218
IBA,0.97857,0.99025
ICSI,0.98441,0.98424
IS,0.98102,0.99633
J,0.98452,0.98435
LS,1.97386,1.99491
MCC,0.98433,0.98433
MCCI,Very Strong,Very Strong
MCEN,0.10688,0.10778
MK,0.9843,0.9843
N,5562,5656
NLR,0.01084,0.00491
NLRI,Good,Good
NPV,0.9891,0.9952
OC,0.9952,0.99515
OOC,0.9922,0.99212
OP,0.98917,0.98917
P,5656,5562
PLR,203.77829,92.27121
PLRI,Good,Good
POP,11218,11218
PPV,0.9952,0.9891
PRE,0.50419,0.49581
Q,0.99989,0.99989
QI,Strong,Strong
RACC,0.25268,0.24733
RACCU,0.25268,0.24733
TN,5535,5595
TNR,0.99515,0.98921
TON,5596,5622
TOP,5622,5596
TP,5595,5535
TPR,0.98921,0.99515
Y,0.98436,0.98436
dInd,0.01183,0.01183
sInd,0.99164,0.99164
