Class,"Normal","Suspeito"
ACC,0.99733,0.99733
AGF,0.99733,0.99733
AGM,0.99732,0.99733
AM,0,0
AUC,0.99733,0.99733
AUCI,Excellent,Excellent
AUPR,0.99735,0.9973
BCD,0.0,0.0
BM,0.99465,0.99465
CEN,0.02535,0.02571
DOR,139069.45333,139069.45333
DP,2.83561,2.83561
DPI,Fair,Fair
ERR,0.00267,0.00267
F0.5,0.99735,0.9973
F1,0.99735,0.9973
F2,0.99735,0.9973
FDR,0.00265,0.0027
FN,15,15
FNR,0.00265,0.0027
FOR,0.0027,0.00265
FP,15,15
FPR,0.0027,0.00265
G,0.99735,0.9973
GI,0.99465,0.99465
GM,0.99733,0.99733
IBA,0.9947,0.99461
ICSI,0.9947,0.99461
IS,0.98413,1.00824
J,0.99471,0.99462
LS,1.97812,2.01146
MCC,0.99465,0.99465
MCCI,Very Strong,Very Strong
MCEN,0.0453,0.04593
MK,0.99465,0.99465
N,5562,5656
NLR,0.00266,0.0027
NLRI,Good,Good
NPV,0.9973,0.99735
OC,0.99735,0.9973
OOC,0.99735,0.9973
OP,0.9973,0.9973
P,5656,5562
PLR,369.81662,376.04977
PLRI,Good,Good
POP,11218,11218
PPV,0.99735,0.9973
PRE,0.50419,0.49581
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.25421,0.24583
RACCU,0.25421,0.24583
TN,5547,5641
TNR,0.9973,0.99735
TON,5562,5656
TOP,5656,5562
TP,5641,5547
TPR,0.99735,0.9973
Y,0.99465,0.99465
dInd,0.00378,0.00378
sInd,0.99733,0.99733
