Class,"Normal","Suspeito"
ACC,0.99597,0.99597
AGF,0.98157,0.99459
AGM,0.99709,0.9964
AM,-23,23
AUC,0.99699,0.99699
AUCI,Excellent,Excellent
AUPR,0.99778,0.97874
BCD,0.00185,0.00185
BM,0.99398,0.99398
CEN,0.02011,0.12494
DOR,132210.0,132210.0
DP,2.8235,2.8235
DPI,Fair,Fair
ERR,0.00403,0.00403
F0.5,0.999,0.9668
F1,0.99778,0.97835
F2,0.99656,0.99019
FDR,0.00018,0.04075
FN,24,1
FNR,0.00426,0.00177
FOR,0.04075,0.00018
FP,1,24
FPR,0.00177,0.00426
G,0.99778,0.97855
GI,0.99398,0.99398
GM,0.99699,0.99699
IBA,0.99151,0.99646
ICSI,0.99557,0.95749
IS,0.13771,3.39477
J,0.99557,0.95763
LS,1.10016,10.51789
MCC,0.97637,0.97637
MCCI,Very Strong,Very Strong
MCEN,0.03572,0.20352
MK,0.95907,0.95907
N,566,5640
NLR,0.00426,0.00177
NLRI,Good,Good
NPV,0.95925,0.99982
OC,0.99982,0.99823
OOC,0.99778,0.97855
OP,0.99472,0.99472
P,5640,566
PLR,563.59149,234.58481
PLRI,Good,Good
POP,6206,6206
PPV,0.99982,0.95925
PRE,0.9088,0.0912
Q,0.99998,0.99998
QI,Strong,Strong
RACC,0.82255,0.00866
RACCU,0.82255,0.00866
TN,565,5616
TNR,0.99823,0.99574
TON,589,5617
TOP,5617,589
TP,5616,565
TPR,0.99574,0.99823
Y,0.99398,0.99398
dInd,0.00461,0.00461
sInd,0.99674,0.99674
