Class,"Normal","Suspeito"
ACC,0.99903,0.99903
AGF,0.99593,0.99825
AGM,0.99864,0.99888
AM,-4,4
AUC,0.99867,0.99867
AUCI,Excellent,Excellent
AUPR,0.99947,0.99473
BCD,0.00032,0.00032
BM,0.99735,0.99735
CEN,0.00613,0.04339
DOR,636755.0,636755.0
DP,3.1999,3.1999
DPI,Good,Good
ERR,0.00097,0.00097
F0.5,0.99968,0.99262
F1,0.99947,0.99472
F2,0.99926,0.99682
FDR,0.00018,0.00877
FN,5,1
FNR,0.00089,0.00177
FOR,0.00877,0.00018
FP,1,5
FPR,0.00177,0.00089
G,0.99947,0.99472
GI,0.99735,0.99735
GM,0.99867,0.99867
IBA,0.99823,0.99647
ICSI,0.99894,0.98946
IS,0.13771,3.44208
J,0.99894,0.98949
LS,1.10016,10.86848
MCC,0.99419,0.99419
MCCI,Very Strong,Very Strong
MCEN,0.0112,0.07589
MK,0.99105,0.99105
N,566,5640
NLR,0.00089,0.00177
NLRI,Good,Good
NPV,0.99123,0.99982
OC,0.99982,0.99823
OOC,0.99947,0.99472
OP,0.99859,0.99859
P,5640,566
PLR,565.49823,1126.00707
PLRI,Good,Good
POP,6206,6206
PPV,0.99982,0.99123
PRE,0.9088,0.0912
Q,1.0,1.0
QI,Strong,Strong
RACC,0.82533,0.00838
RACCU,0.82533,0.00838
TN,565,5635
TNR,0.99823,0.99911
TON,570,5636
TOP,5636,570
TP,5635,565
TPR,0.99911,0.99823
Y,0.99735,0.99735
dInd,0.00198,0.00198
sInd,0.9986,0.9986
