Class,"Normal","Suspeito"
ACC,0.78327,0.78327
AGF,0.0343,0.0382
AGM,0.03591,0.43071
AM,-215,215
AUC,0.43173,0.43173
AUCI,Poor,Poor
AUPR,0.87878,0.00152
BCD,0.01732,0.01732
BM,-0.13653,-0.13653
CEN,0.48887,0.98217
DOR,0.01103,0.01103
DP,-1.07923,-1.07923
DPI,Poor,Poor
ERR,0.21673,0.21673
F0.5,0.88881,0.00136
F1,0.87845,0.00148
F2,0.86832,0.00164
FDR,0.10415,0.99872
FN,780,565
FNR,0.1383,0.99823
FOR,0.99872,0.10415
FP,565,780
FPR,0.99823,0.1383
G,0.87861,0.0015
GI,-0.13653,-0.13653
GM,0.03902,0.03902
IBA,0.00283,0.00021
ICSI,0.75755,-0.99695
IS,-0.0207,-6.15439
J,0.78324,0.00074
LS,0.98576,0.01404
MCC,-0.11851,-0.11851
MCCI,Negligible,Negligible
MCEN,0.69088,0.98183
MK,-0.10287,-0.10287
N,566,5640
NLR,78.2766,1.15844
NLRI,Negligible,Negligible
NPV,0.00128,0.89585
OC,0.89585,0.00177
OOC,0.87861,0.0015
OP,-0.21263,-0.21263
P,5640,566
PLR,0.86323,0.01278
PLRI,Negligible,Negligible
POP,6206,6206
PPV,0.89585,0.00128
PRE,0.9088,0.0912
Q,-0.97818,-0.97818
QI,Negligible,Negligible
RACC,0.79443,0.01148
RACCU,0.79473,0.01178
TN,1,4860
TNR,0.00177,0.8617
TON,781,5425
TOP,5425,781
TP,4860,1
TPR,0.8617,0.00177
Y,-0.13653,-0.13653
dInd,1.00777,1.00777
sInd,0.2874,0.2874
