Class,"Normal","Suspeito"
ACC,0.7873,0.7873
AGF,0.09156,0.10139
AGM,0.09582,0.46606
AM,-202,202
AUC,0.43872,0.43872
AUCI,Poor,Poor
AUPR,0.88114,0.01074
BCD,0.01627,0.01627
BM,-0.12256,-0.12256
CEN,0.48283,0.98778
DOR,0.08028,0.08028
DP,-0.60391,-0.60391
DPI,Poor,Poor
ERR,0.2127,0.2127
F0.5,0.89059,0.00962
F1,0.88084,0.01049
F2,0.87131,0.01154
FDR,0.1028,0.99089
FN,761,559
FNR,0.13493,0.98763
FOR,0.99089,0.1028
FP,559,761
FPR,0.98763,0.13493
G,0.88099,0.01062
GI,-0.12256,-0.12256
GM,0.10343,0.10343
IBA,0.01982,0.00158
ICSI,0.76228,-0.97852
IS,-0.01852,-3.32282
J,0.78706,0.00528
LS,0.98724,0.09994
MCC,-0.10715,-0.10715
MCCI,Negligible,Negligible
MCEN,0.6845,0.98545
MK,-0.09368,-0.09368
N,566,5640
NLR,10.90998,1.14168
NLRI,Negligible,Negligible
NPV,0.00911,0.8972
OC,0.8972,0.01237
OOC,0.88099,0.01062
OP,-0.18451,-0.18451
P,5640,566
PLR,0.8759,0.09166
PLRI,Negligible,Negligible
POP,6206,6206
PPV,0.8972,0.00911
PRE,0.9088,0.0912
Q,-0.85136,-0.85136
QI,Negligible,Negligible
RACC,0.79633,0.01129
RACCU,0.7966,0.01155
TN,7,4879
TNR,0.01237,0.86507
TON,768,5438
TOP,5438,768
TP,4879,7
TPR,0.86507,0.01237
Y,-0.12256,-0.12256
dInd,0.99681,0.99681
sInd,0.29515,0.29515
