Class,"Normal","Suspeito"
ACC,0.76926,0.76926
AGF,0.29431,0.36423
AGM,0.36356,0.59413
AM,-498,498
AUC,0.50191,0.50191
AUCI,Poor,Poor
AUPR,0.86904,0.13398
BCD,0.04012,0.04012
BM,0.00381,0.00381
CEN,0.50781,0.9644
DOR,1.02701,1.02701
DP,0.00638,0.00638
DPI,Poor,Poor
ERR,0.23074,0.23074
F0.5,0.8919,0.10265
F1,0.86719,0.12147
F2,0.8438,0.14874
FDR,0.09082,0.90695
FN,965,467
FNR,0.1711,0.82509
FOR,0.90695,0.09082
FP,467,965
FPR,0.82509,0.1711
G,0.86811,0.12757
GI,0.00381,0.00381
GM,0.38077,0.38077
IBA,0.2398,0.05017
ICSI,0.73808,-0.73204
IS,0.00061,0.02886
J,0.76551,0.06466
LS,1.00042,1.02021
MCC,0.00291,0.00291
MCCI,Negligible,Negligible
MCEN,0.70424,0.94221
MK,0.00222,0.00222
N,566,5640
NLR,0.9782,0.9954
NLRI,Negligible,Negligible
NPV,0.09305,0.90918
OC,0.90918,0.17491
OOC,0.86811,0.12757
OP,0.11775,0.11775
P,5640,566
PLR,1.00462,1.02228
PLRI,Poor,Poor
POP,6206,6206
PPV,0.90918,0.09305
PRE,0.9088,0.0912
Q,0.01332,0.01332
QI,Negligible,Negligible
RACC,0.75299,0.01564
RACCU,0.7546,0.01725
TN,99,4675
TNR,0.17491,0.8289
TON,1064,5142
TOP,5142,1064
TP,4675,99
TPR,0.8289,0.17491
Y,0.00381,0.00381
dInd,0.84264,0.84264
sInd,0.40416,0.40416
