Class,"Normal","Suspeito"
ACC,0.99581,0.99581
AGF,0.99531,0.99631
AGM,0.99609,0.99553
AM,-1,1
AUC,0.99581,0.99581
AUCI,Excellent,Excellent
AUPR,0.9958,0.99582
BCD,0.00042,0.00042
BM,0.99162,0.99162
CEN,0.03722,0.03707
DOR,58904.66667,58904.66667
DP,2.62992,2.62992
DPI,Fair,Fair
ERR,0.00419,0.00419
F0.5,0.9963,0.99532
F1,0.9958,0.99582
F2,0.9953,0.99632
FDR,0.00336,0.00501
FN,3,2
FNR,0.00503,0.00334
FOR,0.00501,0.00336
FP,2,3
FPR,0.00334,0.00503
G,0.9958,0.99582
GI,0.99162,0.99162
GM,0.99581,0.99581
IBA,0.98996,0.99331
ICSI,0.99161,0.99165
IS,0.99756,0.99034
J,0.99164,0.99168
LS,1.99662,1.98666
MCC,0.99163,0.99163
MCCI,Very Strong,Very Strong
MCEN,0.06583,0.06556
MK,0.99163,0.99163
N,598,596
NLR,0.00505,0.00336
NLRI,Good,Good
NPV,0.99499,0.99664
OC,0.99664,0.99666
OOC,0.9958,0.99582
OP,0.99496,0.99496
P,596,598
PLR,297.49497,198.00223
PLRI,Good,Good
POP,1194,1194
PPV,0.99664,0.99499
PRE,0.49916,0.50084
Q,0.99997,0.99997
QI,Strong,Strong
RACC,0.24875,0.25126
RACCU,0.24875,0.25126
TN,596,593
TNR,0.99666,0.99497
TON,599,595
TOP,595,599
TP,593,596
TPR,0.99497,0.99666
Y,0.99162,0.99162
dInd,0.00604,0.00604
sInd,0.99573,0.99573
