Class,"Normal","Suspeito"
ACC,0.99794,0.99794
AGF,0.99856,0.99733
AGM,0.99761,0.99829
AM,14,-14
AUC,0.99795,0.99795
AUCI,Excellent,Excellent
AUPR,0.99794,0.99796
BCD,0.00051,0.00051
BM,0.9959,0.9959
CEN,0.02009,0.01994
DOR,314412.73469,314412.73469
DP,3.03093,3.03093
DPI,Good,Good
ERR,0.00206,0.00206
F0.5,0.99732,0.99857
F1,0.99794,0.99795
F2,0.99855,0.99734
FDR,0.00309,0.00102
FN,7,21
FNR,0.00103,0.00307
FOR,0.00102,0.00309
FP,21,7
FPR,0.00307,0.00103
G,0.99794,0.99795
GI,0.9959,0.9959
GM,0.99795,0.99795
IBA,0.99793,0.99388
ICSI,0.99587,0.99591
IS,1.00349,0.9906
J,0.99588,0.99592
LS,2.00485,1.98701
MCC,0.99589,0.99589
MCCI,Very Strong,Very Strong
MCEN,0.03599,0.03572
MK,0.99588,0.99588
N,6850,6775
NLR,0.00104,0.00307
NLRI,Good,Good
NPV,0.99898,0.99691
OC,0.99897,0.99898
OOC,0.99794,0.99795
OP,0.99693,0.99693
P,6775,6850
PLR,325.85345,964.88999
PLRI,Good,Good
POP,13625,13625
PPV,0.99691,0.99898
PRE,0.49725,0.50275
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.24777,0.25224
RACCU,0.24777,0.25224
TN,6829,6768
TNR,0.99693,0.99897
TON,6836,6789
TOP,6789,6836
TP,6768,6829
TPR,0.99897,0.99693
Y,0.9959,0.9959
dInd,0.00324,0.00324
sInd,0.99771,0.99771
