Class,"Normal","Suspeito"
ACC,0.99809,0.99809
AGF,0.99871,0.99748
AGM,0.99776,0.99843
AM,14,-14
AUC,0.9981,0.9981
AUCI,Excellent,Excellent
AUPR,0.99808,0.9981
BCD,0.00051,0.00051
BM,0.99619,0.99619
CEN,0.0188,0.01865
DOR,385268.91667,385268.91667
DP,3.07959,3.07959
DPI,Good,Good
ERR,0.00191,0.00191
F0.5,0.99747,0.99871
F1,0.99808,0.9981
F2,0.9987,0.99749
FDR,0.00295,0.00088
FN,6,20
FNR,0.00089,0.00292
FOR,0.00088,0.00295
FP,20,6
FPR,0.00292,0.00089
G,0.99808,0.9981
GI,0.99619,0.99619
GM,0.9981,0.9981
IBA,0.99822,0.99417
ICSI,0.99617,0.9962
IS,1.00371,0.99081
J,0.99617,0.99621
LS,2.00515,1.98731
MCC,0.99619,0.99619
MCCI,Very Strong,Very Strong
MCEN,0.03371,0.03346
MK,0.99618,0.99618
N,6850,6775
NLR,0.00089,0.00292
NLRI,Good,Good
NPV,0.99912,0.99705
OC,0.99911,0.99912
OOC,0.99808,0.9981
OP,0.99707,0.99707
P,6775,6850
PLR,342.19668,1125.86983
PLRI,Good,Good
POP,13625,13625
PPV,0.99705,0.99912
PRE,0.49725,0.50275
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.24777,0.25224
RACCU,0.24777,0.25224
TN,6830,6769
TNR,0.99708,0.99911
TON,6836,6789
TOP,6789,6836
TP,6769,6830
TPR,0.99911,0.99708
Y,0.99619,0.99619
dInd,0.00305,0.00305
sInd,0.99784,0.99784
