Class,"Normal","Suspeito"
ACC,0.40015,0.40015
AGF,0.10509,0.0581
AGM,0.0474,0.31091
AM,5447,-5447
AUC,0.40233,0.40233
AUCI,Poor,Poor
AUPR,0.62081,0.01717
BCD,0.19989,0.19989
BM,-0.19534,-0.19534
CEN,0.80327,0.65787
DOR,0.02332,0.02332
DP,-0.89989,-0.89989
DPI,Poor,Poor
ERR,0.59985,0.59985
F0.5,0.48614,0.01605
F1,0.56977,0.00969
F2,0.68816,0.00694
FDR,0.55719,0.97149
FN,1363,6810
FNR,0.20118,0.99416
FOR,0.97149,0.55719
FP,6810,1363
FPR,0.99416,0.20118
G,0.59475,0.0129
GI,-0.19534,-0.19534
GM,0.0683,0.0683
IBA,0.00836,0.00097
ICSI,0.24163,-0.96565
IS,-0.16728,-4.14029
J,0.39838,0.00487
LS,0.89052,0.05671
MCC,-0.32136,-0.32136
MCCI,Negligible,Negligible
MCEN,0.83224,0.6541
MK,-0.52868,-0.52868
N,6850,6775
NLR,34.45221,1.24454
NLRI,Negligible,Negligible
NPV,0.02851,0.44281
OC,0.79882,0.02851
OOC,0.59475,0.0129
OP,-0.58534,-0.58534
P,6775,6850
PLR,0.80351,0.02903
PLRI,Negligible,Negligible
POP,13625,13625
PPV,0.44281,0.02851
PRE,0.49725,0.50275
Q,-0.95442,-0.95442
QI,Negligible,Negligible
RACC,0.44604,0.05177
RACCU,0.486,0.09173
TN,40,5412
TNR,0.00584,0.79882
TON,1403,12222
TOP,12222,1403
TP,5412,40
TPR,0.79882,0.00584
Y,-0.19534,-0.19534
dInd,1.01431,1.01431
sInd,0.28277,0.28277
