Class,"Normal","Suspeito"
ACC,0.37541,0.37541
AGF,0.07084,0.04108
AGM,0.03297,0.28177
AM,5148,-5148
AUC,0.37747,0.37747
AUCI,Poor,Poor
AUPR,0.58956,0.0077
BCD,0.18892,0.18892
BM,-0.24505,-0.24505
CEN,0.84318,0.72051
DOR,0.00932,0.00932
DP,-1.11955,-1.11955
DPI,Poor,Poor
ERR,0.62459,0.62459
F0.5,0.46762,0.00769
F1,0.54487,0.00491
F2,0.65269,0.00361
FDR,0.57276,0.98766
FN,1681,6829
FNR,0.24812,0.99693
FOR,0.98766,0.57276
FP,6829,1681
FPR,0.99693,0.24812
G,0.56678,0.00615
GI,-0.24505,-0.24505
GM,0.04801,0.04801
IBA,0.00403,0.00058
ICSI,0.17912,-0.9846
IS,-0.21891,-5.34862
J,0.37445,0.00246
LS,0.85921,0.02454
MCC,-0.37058,-0.37058
MCCI,Negligible,Negligible
MCEN,0.87187,0.71875
MK,-0.56042,-0.56042
N,6850,6775
NLR,80.93376,1.32592
NLRI,Negligible,Negligible
NPV,0.01234,0.42724
OC,0.75188,0.01234
OOC,0.56678,0.00615
OP,-0.61647,-0.61647
P,6775,6850
PLR,0.75419,0.01236
PLRI,Negligible,Negligible
POP,13625,13625
PPV,0.42724,0.01234
PRE,0.49725,0.50275
Q,-0.98153,-0.98153
QI,Negligible,Negligible
RACC,0.43513,0.0628
RACCU,0.47082,0.09849
TN,21,5094
TNR,0.00307,0.75188
TON,1702,11923
TOP,11923,1702
TP,5094,21
TPR,0.75188,0.00307
Y,-0.24505,-0.24505
dInd,1.02735,1.02735
sInd,0.27356,0.27356
