Class,"Normal","Suspeito"
ACC,0.98714,0.98714
AGF,0.9466,0.98427
AGM,0.99147,0.98874
AM,-91,91
AUC,0.99105,0.99105
AUCI,Excellent,Excellent
AUPR,0.99287,0.94106
BCD,0.00603,0.00603
BM,0.98211,0.98211
CEN,0.05253,0.26144
DOR,17422.6383,17422.6383
DP,2.33825,2.33825
DPI,Fair,Fair
ERR,0.01286,0.01286
F0.5,0.99685,0.90616
F1,0.99283,0.93786
F2,0.98883,0.97185
FDR,0.00045,0.1138
FN,94,3
FNR,0.01381,0.00408
FOR,0.1138,0.00045
FP,3,94
FPR,0.00408,0.01381
G,0.99285,0.93946
GI,0.98211,0.98211
GM,0.99104,0.99104
IBA,0.97261,0.99172
ICSI,0.98574,0.88212
IS,0.1473,3.18464
J,0.98575,0.88299
LS,1.1075,9.09228
MCC,0.93269,0.93269
MCCI,Very Strong,Very Strong
MCEN,0.09021,0.38547
MK,0.88575,0.88575
N,735,6806
NLR,0.01387,0.00414
NLRI,Good,Good
NPV,0.8862,0.99955
OC,0.99955,0.99592
OOC,0.99285,0.93946
OP,0.98223,0.98223
P,6806,735
PLR,241.61622,72.10873
PLRI,Good,Good
POP,7541,7541
PPV,0.99955,0.8862
PRE,0.90253,0.09747
Q,0.99989,0.99989
QI,Strong,Strong
RACC,0.80367,0.01068
RACCU,0.80371,0.01071
TN,732,6712
TNR,0.99592,0.98619
TON,826,6715
TOP,6715,826
TP,6712,732
TPR,0.98619,0.99592
Y,0.98211,0.98211
dInd,0.0144,0.0144
sInd,0.98982,0.98982
