Class,"Normal","Suspeito"
ACC,0.99934,0.99934
AGF,0.99879,0.99743
AGM,0.99697,0.99846
AM,3,-3
AUC,0.99721,0.99721
AUCI,Excellent,Excellent
AUPR,0.99963,0.9966
BCD,0.0002,0.0002
BM,0.99441,0.99441
CEN,0.00446,0.0304
DOR,1243613.75,1243613.75
DP,3.36018,3.36018
DPI,Good,Good
ERR,0.00066,0.00066
F0.5,0.9995,0.99782
F1,0.99963,0.99659
F2,0.99976,0.99537
FDR,0.00059,0.00137
FN,1,4
FNR,0.00015,0.00544
FOR,0.00137,0.00059
FP,4,1
FPR,0.00544,0.00015
G,0.99963,0.99659
GI,0.99441,0.99441
GM,0.9972,0.9972
IBA,0.99968,0.98915
ICSI,0.99927,0.99319
IS,0.1471,3.35697
J,0.99927,0.99321
LS,1.10734,10.24585
MCC,0.99623,0.99623
MCCI,Very Strong,Very Strong
MCEN,0.00817,0.05383
MK,0.99805,0.99805
N,735,6806
NLR,0.00015,0.00544
NLRI,Good,Good
NPV,0.99863,0.99941
OC,0.99985,0.99863
OOC,0.99963,0.99659
OP,0.99668,0.99668
P,6806,735
PLR,183.723,6768.96054
PLRI,Good,Good
POP,7541,7541
PPV,0.99941,0.99863
PRE,0.90253,0.09747
Q,1.0,1.0
QI,Strong,Strong
RACC,0.81492,0.00946
RACCU,0.81492,0.00946
TN,731,6805
TNR,0.99456,0.99985
TON,732,6809
TOP,6809,732
TP,6805,731
TPR,0.99985,0.99456
Y,0.99441,0.99441
dInd,0.00544,0.00544
sInd,0.99615,0.99615
