Class,"Normal","Suspeito"
ACC,0.99894,0.99894
AGF,0.99609,0.99789
AGM,0.99812,0.99863
AM,-4,4
AUC,0.9982,0.9982
AUCI,Excellent,Excellent
AUPR,0.99941,0.99458
BCD,0.00027,0.00027
BM,0.9964,0.9964
CEN,0.00679,0.04525
DOR,415366.66667,415366.66667
DP,3.0976,3.0976
DPI,Good,Good
ERR,0.00106,0.00106
F0.5,0.99959,0.99296
F1,0.99941,0.99457
F2,0.99924,0.99619
FDR,0.00029,0.00812
FN,6,2
FNR,0.00088,0.00272
FOR,0.00812,0.00029
FP,2,6
FPR,0.00272,0.00088
G,0.99941,0.99458
GI,0.9964,0.9964
GM,0.9982,0.9982
IBA,0.99823,0.99457
ICSI,0.99882,0.98916
IS,0.14752,3.34718
J,0.99882,0.9892
LS,1.10767,10.17656
MCC,0.99399,0.99399
MCCI,Very Strong,Very Strong
MCEN,0.01239,0.07929
MK,0.99159,0.99159
N,735,6806
NLR,0.00088,0.00272
NLRI,Good,Good
NPV,0.99188,0.99971
OC,0.99971,0.99728
OOC,0.99941,0.99458
OP,0.99802,0.99802
P,6806,735
PLR,367.17602,1131.24671
PLRI,Good,Good
POP,7541,7541
PPV,0.99971,0.99188
PRE,0.90253,0.09747
Q,1.0,1.0
QI,Strong,Strong
RACC,0.81409,0.00955
RACCU,0.81409,0.00955
TN,733,6800
TNR,0.99728,0.99912
TON,739,6802
TOP,6802,739
TP,6800,733
TPR,0.99912,0.99728
Y,0.9964,0.9964
dInd,0.00286,0.00286
sInd,0.99798,0.99798
