Class,"Normal","Suspeito"
ACC,0.98627,0.98627
AGF,0.98062,0.99199
AGM,0.98944,0.98303
AM,-14,14
AUC,0.98627,0.98627
AUCI,Excellent,Excellent
AUPR,0.98622,0.9865
BCD,0.0048,0.0048
BM,0.97253,0.97253
CEN,0.09406,0.09255
DOR,10121.29412,10121.29412
DP,2.2082,2.2082
DPI,Fair,Fair
ERR,0.01373,0.01373
F0.5,0.99191,0.98082
F1,0.98613,0.98641
F2,0.98042,0.99207
FDR,0.0042,0.02288
FN,17,3
FNR,0.02335,0.00412
FOR,0.02288,0.0042
FP,3,17
FPR,0.00412,0.02335
G,0.98618,0.98646
GI,0.97253,0.97253
GM,0.98622,0.98622
IBA,0.95392,0.99134
ICSI,0.97245,0.973
IS,0.99492,0.96562
J,0.97264,0.97319
LS,1.99296,1.9529
MCC,0.97273,0.97273
MCCI,Very Strong,Very Strong
MCEN,0.15873,0.15633
MK,0.97292,0.97292
N,729,728
NLR,0.02345,0.00421
NLRI,Good,Good
NPV,0.97712,0.9958
OC,0.9958,0.99588
OOC,0.98618,0.98646
OP,0.97652,0.97652
P,728,729
PLR,237.32555,42.6473
PLRI,Good,Good
POP,1457,1457
PPV,0.9958,0.97712
PRE,0.49966,0.50034
Q,0.9998,0.9998
QI,Strong,Strong
RACC,0.24486,0.25515
RACCU,0.24488,0.25517
TN,726,711
TNR,0.99588,0.97665
TON,743,714
TOP,714,743
TP,711,726
TPR,0.97665,0.99588
Y,0.97253,0.97253
dInd,0.02371,0.02371
sInd,0.98323,0.98323
