Class,"Normal","Suspeito"
ACC,0.99794,0.99794
AGF,0.99835,0.99753
AGM,0.99771,0.99817
AM,1,-1
AUC,0.99794,0.99794
AUCI,Excellent,Excellent
AUPR,0.99794,0.99794
BCD,0.00034,0.00034
BM,0.99588,0.99588
CEN,0.02027,0.02027
DOR,264264.5,264264.5
DP,2.98933,2.98933
DPI,Fair,Fair
ERR,0.00206,0.00206
F0.5,0.99753,0.99835
F1,0.99794,0.99794
F2,0.99835,0.99753
FDR,0.00274,0.00137
FN,1,2
FNR,0.00137,0.00274
FOR,0.00137,0.00274
FP,2,1
FPR,0.00274,0.00137
G,0.99794,0.99794
GI,0.99588,0.99588
GM,0.99794,0.99794
IBA,0.99725,0.99452
ICSI,0.99588,0.99588
IS,0.99703,0.99703
J,0.99589,0.99589
LS,1.99588,1.99588
MCC,0.99588,0.99588
MCCI,Very Strong,Very Strong
MCEN,0.03635,0.03635
MK,0.99588,0.99588
N,729,728
NLR,0.00138,0.00275
NLRI,Good,Good
NPV,0.99863,0.99726
OC,0.99863,0.99863
OOC,0.99794,0.99794
OP,0.99725,0.99725
P,728,729
PLR,363.99931,726.00274
PLRI,Good,Good
POP,1457,1457
PPV,0.99726,0.99863
PRE,0.49966,0.50034
Q,0.99999,0.99999
QI,Strong,Strong
RACC,0.25,0.25
RACCU,0.25,0.25
TN,727,727
TNR,0.99726,0.99863
TON,728,729
TOP,729,728
TP,727,727
TPR,0.99863,0.99726
Y,0.99588,0.99588
dInd,0.00307,0.00307
sInd,0.99783,0.99783
